timestamp,sala,tipo_sensor,valor,topico
2025-11-14 18:54:31,sala2,temp,22.49,lan/sala2/sensor/temp
2025-11-14 18:54:32,sala1,temp,20.27,lan/sala1/sensor/temp
2025-11-14 18:54:33,sala1,hum,58.18,lan/sala1/sensor/hum
2025-11-14 18:54:33,sala2,temp,18.65,lan/sala2/sensor/temp
2025-11-14 18:54:34,sala1,temp,22.86,lan/sala1/sensor/temp
2025-11-14 18:54:35,sala1,hum,52.91,lan/sala1/sensor/hum
2025-11-14 18:54:35,sala2,temp,26.85,lan/sala2/sensor/temp
2025-11-14 18:54:36,sala1,temp,24.84,lan/sala1/sensor/temp
2025-11-14 18:54:37,sala1,hum,53.89,lan/sala1/sensor/hum
2025-11-14 18:54:37,sala2,temp,19.48,lan/sala2/sensor/temp
2025-11-14 18:54:38,sala1,temp,23.7,lan/sala1/sensor/temp
2025-11-14 18:54:39,sala1,hum,53.42,lan/sala1/sensor/hum
2025-11-14 18:54:39,sala2,temp,18.34,lan/sala2/sensor/temp
2025-11-14 18:54:40,sala1,temp,19.74,lan/sala1/sensor/temp
2025-11-14 18:54:41,sala1,hum,60.99,lan/sala1/sensor/hum
2025-11-14 18:54:41,sala2,temp,18.84,lan/sala2/sensor/temp
2025-11-14 18:54:42,sala1,temp,26.25,lan/sala1/sensor/temp
2025-11-14 18:54:43,sala1,hum,37.29,lan/sala1/sensor/hum
2025-11-14 18:54:43,sala2,temp,25.43,lan/sala2/sensor/temp
2025-11-14 18:54:44,sala1,temp,25.16,lan/sala1/sensor/temp
2025-11-14 18:54:45,sala1,hum,49.61,lan/sala1/sensor/hum
2025-11-14 18:54:45,sala2,temp,26.12,lan/sala2/sensor/temp
2025-11-14 18:54:46,sala1,temp,20.29,lan/sala1/sensor/temp
2025-11-14 18:54:47,sala1,hum,34.58,lan/sala1/sensor/hum
2025-11-14 18:54:47,sala2,temp,21.26,lan/sala2/sensor/temp
2025-11-14 18:54:48,sala1,temp,20.42,lan/sala1/sensor/temp
2025-11-14 18:54:49,sala1,hum,48.55,lan/sala1/sensor/hum
2025-11-14 18:54:49,sala2,temp,24.4,lan/sala2/sensor/temp
2025-11-14 18:54:50,sala1,temp,21.38,lan/sala1/sensor/temp
2025-11-14 18:54:51,sala1,hum,49.13,lan/sala1/sensor/hum
2025-11-14 18:54:51,sala2,temp,23.57,lan/sala2/sensor/temp
2025-11-14 18:54:52,sala1,temp,19.77,lan/sala1/sensor/temp
2025-11-14 18:54:53,sala1,hum,52.54,lan/sala1/sensor/hum
2025-11-14 18:54:53,sala2,temp,19.66,lan/sala2/sensor/temp
2025-11-14 18:54:54,sala1,temp,19.68,lan/sala1/sensor/temp
2025-11-14 18:54:55,sala1,hum,50.63,lan/sala1/sensor/hum
